caseid,region,gender,educ,edloan,race,hispanic,employ,marstat,pid7,ideo5,pew_religimp,newsint,faminc_new,union,investor,CC18_308a,CC18_310a,CC18_310b,CC18_310c,CC18_310d,CC18_325a,CC18_325b,CC18_325c,CC18_325d
417614315,3,1,2,2,1,2,5,3,6,3,1,2,1,3,2,2,2,3,3,5,1,2,1,1
415490556,1,2,6,2,1,1,1,1,2,2,3,3,12,3,2,4,3,2,5,5,2,2,2,1
414351505,3,2,3,2,2,2,1,4,2,3,1,3,4,3,1,4,2,2,2,2,1,2,1,2
411855339,1,2,5,2,6,2,5,3,3,1,2,1,6,2,1,4,3,3,3,3,2,1,2,1
417056957,2,1,2,NA,4,2,8,5,1,1,4,2,4,3,2,4,2,1,1,1,2,2,2,1
420208067,2,1,3,2,1,2,1,1,4,5,4,1,10,1,2,4,2,2,3,2,1,2,1,1
412517331,1,1,2,2,1,2,5,5,5,4,3,2,6,3,1,1,3,3,2,2,1,1,1,1
412873566,2,2,3,2,1,2,7,1,7,5,1,3,2,3,2,1,2,2,3,5,1,1,1,1
412948037,1,1,5,1,1,2,1,1,1,1,4,1,11,2,1,4,3,3,3,5,2,2,2,1
413463295,3,1,5,NA,1,2,1,5,1,1,3,1,2,2,2,4,2,2,2,2,2,2,2,1
415732156,3,1,6,2,1,2,1,5,6,5,4,4,16,3,2,1,2,3,2,5,2,1,1,2
416479672,3,2,2,2,1,2,5,4,5,3,1,1,4,3,2,4,2,3,2,5,2,1,2,1
412984205,1,2,3,2,1,2,7,1,3,3,2,1,11,3,1,4,3,3,3,3,2,1,2,2
413002690,3,1,6,2,1,2,1,1,6,5,1,1,11,3,1,1,2,2,2,2,1,1,1,1
414239724,4,1,3,2,3,2,4,5,1,1,3,2,1,3,2,4,1,1,1,3,2,1,2,2
412311163,3,2,3,1,2,2,1,2,1,3,2,3,3,2,1,4,3,5,2,5,2,2,2,1
414204021,2,2,6,1,1,2,9,1,2,1,2,1,11,3,1,4,5,3,2,3,2,1,2,2
412931880,4,1,3,2,1,2,1,5,2,1,4,1,9,3,1,4,3,3,3,3,2,1,1,1
412881399,2,2,4,2,1,2,4,5,3,1,4,3,2,3,2,4,2,5,3,2,2,1,2,1
412985437,3,2,4,2,1,2,6,3,7,3,1,1,3,2,2,1,2,3,2,2,2,2,1,1
411855595,1,1,6,2,1,2,1,1,4,3,4,1,10,3,1,4,3,3,3,3,1,1,2,1
413877573,1,1,5,2,1,2,3,5,3,1,4,1,8,3,2,4,2,3,3,3,2,1,2,1
414018801,4,1,6,2,1,2,1,1,6,3,3,1,12,3,2,2,2,2,2,3,1,1,1,1
413425778,4,2,3,2,1,2,1,5,5,4,3,2,6,3,2,2,3,3,3,3,1,1,2,2
413859987,3,2,6,1,1,2,1,1,7,5,1,1,11,3,1,1,2,2,2,2,1,2,2,2
417838480,3,1,5,2,1,2,1,4,5,1,2,1,7,3,1,1,2,3,2,NA,1,1,1,1
413456067,3,1,5,2,1,2,6,5,2,1,4,4,6,3,1,4,2,2,2,3,2,1,2,1
415423745,1,1,2,NA,1,2,2,5,1,2,4,2,2,3,2,4,3,3,3,1,2,1,1,2
414480371,1,1,5,1,1,2,1,1,4,3,1,1,9,3,1,1,3,3,3,3,1,1,1,1
413336030,4,2,2,2,3,2,9,5,1,3,3,1,4,1,2,4,3,3,3,5,2,1,2,1
413834979,3,1,5,2,1,2,5,1,4,4,2,1,10,3,1,1,3,3,3,2,1,1,1,1
412503538,3,1,6,2,1,2,5,1,1,2,3,1,11,2,1,4,2,3,2,2,2,1,2,1
413497102,1,2,5,1,2,2,4,1,1,2,4,1,3,3,2,4,3,3,3,3,1,2,2,2
413084367,4,1,6,1,1,2,1,1,6,4,1,1,9,3,1,2,2,2,2,3,1,1,1,1
416814438,2,2,5,2,1,2,6,5,1,1,4,2,2,3,2,4,3,3,3,3,2,1,2,1
417149621,3,1,2,2,1,2,1,1,3,3,4,2,8,3,1,4,2,2,2,2,2,1,1,1
412380994,4,2,6,2,1,2,2,4,1,3,4,1,4,3,2,4,2,3,3,2,2,1,2,1
414884778,1,2,3,NA,1,2,8,5,1,2,4,2,13,3,1,4,3,2,2,2,2,1,1,2
412880622,4,2,5,2,1,2,7,1,1,2,4,1,13,3,1,4,2,3,3,2,2,1,2,2
414533452,1,2,5,1,1,2,8,5,2,3,3,1,11,3,2,4,3,3,2,2,2,2,2,2
412276693,3,1,4,2,1,2,1,1,3,1,2,1,10,3,1,4,2,2,2,3,2,1,2,1
414146718,3,1,5,2,1,2,1,6,6,4,4,1,6,2,2,2,3,2,2,2,1,2,2,1
415287363,4,1,6,2,1,2,1,1,3,2,1,1,4,3,1,4,3,3,3,3,2,2,2,1
412380857,4,2,6,1,1,2,1,1,7,3,2,1,9,3,2,1,2,2,2,2,1,1,1,2
412118399,2,2,5,2,1,2,1,1,2,2,3,3,11,3,1,4,5,5,5,5,2,1,1,1
416806180,2,1,3,1,1,2,1,1,6,3,2,1,10,1,1,2,2,2,3,3,1,1,1,1
417080245,3,1,5,2,1,2,1,1,7,4,3,1,12,3,1,1,2,3,2,2,1,1,1,1
415300641,2,2,4,2,2,2,1,5,3,2,1,1,6,3,2,3,3,3,5,NA,1,1,1,1
414628957,3,1,2,NA,1,2,1,1,2,3,3,2,4,3,2,1,2,2,2,2,2,1,1,2
417838586,3,1,4,2,1,2,1,1,7,5,1,1,7,2,1,1,2,2,2,2,1,1,1,2
415151821,3,2,2,NA,3,2,2,6,2,3,4,4,5,3,2,4,5,5,5,5,1,1,1,1
415459688,3,2,2,2,1,2,2,1,4,3,4,4,7,3,2,3,5,5,5,5,2,1,2,1
414273888,3,2,2,2,1,2,5,1,4,3,2,3,10,3,1,3,2,3,2,3,2,2,2,1
347845625,2,2,6,1,1,1,8,1,7,4,1,1,6,3,1,1,2,2,3,3,1,1,1,1
