thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,elected,female,votepct,dwnom1,deleg_size,speaker,subchr,afam,latino,votepct_sq,power,chair,state_leg,state_leg_prof,majority,maj_leader,min_leader,meddist,majdist,all_bills,all_aic,all_abc,all_pass,all_law,les,seniority,benchmark,expectation,TotalInParty,RankInParty
1,"Abdnor, James",14000,93,1973,SD,2,0,1972,0,55,0.228,6,0,0,0,0,3025,0,0,1,0.104000002,0,0,0,0.275000006,0.547500014,22,0,0,0,0,0.109570265,1,0.271341175,1,197,132
2,"Abzug, Bella",13001,93,1973,NY,20,1,1970,1,56,-0.686999977,39,0,0,0,0,3136,0,0,0,0,1,0,0,0.639999986,0.367499977,136,1,1,1,1,0.762431085,2,0.510812402,2,248,119
3,"Adams, Brock",10700,93,1973,WA,7,1,1964,0,85,-0.361000001,7,0,1,0,0,7225,0,0,0,0,1,0,0,0.31400001,0.041500002,37,2,2,2,1,1.236478448,5,1.530341387,2,248,88
4,"Addabbo, Joseph",10500,93,1973,NY,7,1,1960,0,75,-0.400000006,39,0,1,0,0,5625,1,0,0,0,1,0,0,0.353000015,0.080500007,38,0,0,0,0,0.15505226,7,1.584492803,1,248,197
6,"Alexander, Bill",12000,93,1973,AR,1,1,1968,0,100,-0.280999988,4,0,1,0,0,10000,0,0,0,0,1,0,0,0.233999982,0.038500011,53,3,3,2,1,1.875050545,3,1.476189971,2,248,64
8,"Anderson, Glenn",12001,93,1973,CA,35,1,1968,0,75,-0.293000013,43,0,0,0,0,5625,0,0,1,0.526000023,1,0,0,0.246000007,0.026499987,87,0,0,0,0,0.446550518,3,0.53788811,2,248,147
7,"Anderson, John",10501,93,1973,IL,16,0,1960,0,72,0.101999998,24,0,0,0,0,5184,1,0,0,0,0,0,1,0.149000004,0.421499997,55,0,0,0,0,0.289430887,7,0.433795393,2,197,67
9,"Andrews, Ike",14001,93,1973,NC,4,1,1972,0,50,-0.097999997,11,0,0,0,0,2500,0,0,1,0.189999998,1,0,0,0.050999999,0.221500009,17,0,0,0,0,0.087862954,1,0.483736724,1,248,218
10,"Andrews, Mark",10569,93,1973,ND,1,0,1963,0,73,0.105999999,1,0,0,0,0,5329,1,0,0,0,0,0,0,0.152999997,0.425500005,23,0,0,0,0,0.106469221,6,0.406719685,1,197,135
11,"Annunzio, Frank",10703,93,1973,IL,11,1,1964,0,53,-0.402999997,24,0,1,0,0,2809,0,0,0,0,1,0,0,0.356000006,0.083499998,53,2,2,2,1,0.627664626,5,1.530341387,1,248,129
12,"Archer, Bill",13002,93,1973,TX,7,0,1970,0,82,0.463999987,24,0,0,0,0,6724,1,0,1,0.191,0,0,0,0.510999978,0.783500016,35,0,0,0,0,0.180894315,2,0.298416883,2,197,103
13,"Arends, Leslie",226,93,1973,IL,15,0,1934,0,57,0.296000004,24,0,0,0,0,3249,0,0,NA,NA,0,0,1,0.342999995,0.615500033,3,0,0,0,0,0.015505226,20,0.785779536,1,197,193
14,"Armstrong, William",14002,93,1973,CO,5,0,1972,0,62,0.441000015,5,0,0,0,0,3844,0,0,1,0.284000009,0,0,0,0.488000005,0.760500014,11,1,1,1,1,0.137053624,1,0.271341175,2,197,126
15,"Ashbrook, John",10502,93,1973,OH,17,0,1960,0,57,0.601000011,23,0,0,0,0,3249,0,0,1,0.354999989,0,0,0,0.648000002,0.92050004,34,0,0,0,0,0.171591178,7,0.433795393,1,197,108
16,"Ashley, Thomas",267,93,1973,OH,9,1,1954,0,69,-0.328999996,23,0,1,0,0,4761,0,0,0,0,1,0,0,0.282000005,0.009499996,28,5,5,5,2,3.763123989,10,1.665719867,3,248,26
